"id"	"hs07"	"name"
"063001"	3001	"Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or"
"06300120"	300120	"Extracts of glands/of other organs/of their secretions"
"06300190"	300190	"Glands&other organs for organo-therapeutic uses, dried, whether/not powdered; heparin&its salts; other human/animal substances prepared for therapeutic/prophylactic uses, n.e.s./incld."
"063002"	3002	"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes; vaccines, toxins, cultures of micr"
"06300210"	300210	"Antisera & other blood fractions & modified immunological products, whether/not obt. by means of biotechnological processes"
"06300220"	300220	"Vaccines for human medicine"
"06300290"	300290	"Human blood; animal blood prepared for therapeutic/prophylactic/diagnostic uses; toxins, cultures of micro-organisms (excl. yeasts) & similar products"
"063003"	3003	"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale."
"06300310"	300310	"Medicaments containing penicillins/derivatives thereof with a penicillanic acid structure/streptomycins/their derivatives, not put up in measured doses/forms/packagings for RS"
"06300320"	300320	"Medicaments consisting of 2/more constituents, containing other antibiotics (excl. of 3003.10), not put up in measured doses/forms/packagings for RS"
"06300331"	300331	"Medicaments containing insulin, not put up in measured doses/forms/packagings for RS"
"06300339"	300339	"Medicaments containing hormones/other products of 29.37 but not containing antibiotics (excl. meds. containing insulin), not put up in measured doses/forms/packagings for RS"
"06300340"	300340	"Medicaments containing alkaloids/derivatives thereof but not containing hormones/other products of 29.37/antibiotics, not put up in measured doses/forms/packagings for RS"
"06300390"	300390	"Medicaments (excluding goods of heading 30.02, 30.05/30.06/of 3003.10-3003.40) consisting of two/more constituents which have been mixed together for therapeutic/prophylactic uses, not put up in measured doses/in forms/packings for retail sale"
"063004"	3004	"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packin"
"06300410"	300410	"Medicaments containing penicillins/derivatives thereof with a penicillanic acid structure/streptomycins/their derivatives, put up in measured doses/forms/packings for RS"
"06300420"	300420	"Medicaments containing other antibiotics (excl. of 3004.10), put up in measured doses/forms/packings for RS"
"06300431"	300431	"Medicaments containing insulin, put up in measured doses/forms/packings for RS"
"06300432"	300432	"Medicaments containing corticosteroid hormones, their derivatives & structural analogues, put up in measured doses/forms/packings for RS"
"06300439"	300439	"Medicaments containing hormones/other products of 29.37 but not containing antibiotics, put up in measured doses/forms/packings for RS"
"06300440"	300440	"Medicaments containing alkaloids/derivatives thereof but not containing hormones/other products of 29.37/antibiotics, put up in measured doses/forms/packings for RS"
"06300450"	300450	"Medicaments containing vitamins/other products of 29.36 (excl. of 3004.10-3004.40), put up in measured doses/forms/packings for RS"
"06300490"	300490	"Medicaments (excluding goods of heading 30.02/30.05/30.06/3004.10-3004.50) consisting of mixed/unmixed products for therapeutic/prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems)/in forms/packin"
"063005"	3005	"Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes."
"06300510"	300510	"Adhesive dressings & other articles having an adhesive layer"
"06300590"	300590	"Wadding, gauze, bandages & similar articles (eg. dressings, adhesive plasters, poultices), impregnated/coated with pharmaceutical substances/put up in forms/packings for retail sale for medical, surgical, dental/veterinary purposes(excl. of 3005.10)"
"063006"	3006	"Pharmaceutical goods specified in Note 4 to this Chapter."
"06300610"	300610	"Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical/dental yarns)&sterile tissue adhesives for surgical wound closure; sterile laminaria&sterile laminaria tents; sterile absorbable surgical/dental/veterinary pu"
"06300620"	300620	"Blood-grouping reagents"
"06300630"	300630	"Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient"
"06300640"	300640	"Dental cements & other dental fillings; bone reconstruction cements"
